date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2025-07-01,Haveri,1,Good,47,PM10
2025-07-01,Howrah,5,Good,47,"CO, O3, PM10"
2025-07-01,Hubballi,1,Good,38,PM10
2025-07-01,Gummidipoondi,1,Moderate,102,PM10
2025-07-01,Hyderabad,9,Satisfactory,61,PM10
2025-07-01,Jabalpur,3,Good,44,"CO, PM10"
2025-07-01,Jaipur,5,Satisfactory,73,"CO, PM10"
2025-07-01,Jaisalmer,1,Satisfactory,95,PM10
2025-07-01,Jalandhar,1,Satisfactory,55,PM10
2025-07-01,Jalgaon,1,Satisfactory,51,PM10
2025-07-01,Jalna,1,Satisfactory,93,PM10
2025-07-01,Jalore,1,Satisfactory,67,PM10
2025-07-01,Jhalawar,1,Satisfactory,51,PM10
2025-07-01,Jhansi,1,Good,42,SO2
2025-07-01,Chikkamagaluru,1,Good,39,PM10
2025-07-01,Jodhpur,5,Satisfactory,55,"PM10, PM2.5"
2025-07-01,Indore,4,Satisfactory,55,"NO2, PM10, SO2"
2025-07-01,Greater Noida,2,Satisfactory,100,PM10
2025-07-01,Hosur,1,Satisfactory,58,PM10
2025-07-01,Chittorgarh,1,Good,24,CO
2025-07-01,Chittoor,1,Satisfactory,69,PM2.5
2025-07-01,Gorakhpur,1,Good,47,O3
2025-07-01,Churu,1,Moderate,115,O3
2025-07-01,Coimbatore,2,Good,30,"PM10, PM2.5"
2025-07-01,Cuddalore,2,Good,32,"PM10, PM2.5"
2025-07-01,Cuttack,1,Satisfactory,63,CO
2025-07-01,Damoh,1,Good,35,PM10
2025-07-01,Dausa,1,Satisfactory,93,PM10
2025-07-01,Dehradun,1,Good,19,PM10
2025-07-01,Delhi,36,Satisfactory,83,"PM10, PM2.5"
2025-07-01,Dewas,1,Satisfactory,52,PM10
2025-07-01,Dhanbad,1,Satisfactory,78,NO2
2025-07-01,Davanagere,1,Satisfactory,74,CO
2025-07-01,Dhule,1,Good,43,PM10
2025-07-01,Ghaziabad,4,Satisfactory,86,"PM10, PM2.5"
2025-07-01,Dharwad,1,Satisfactory,57,PM10
2025-07-01,Gangtok,1,Good,22,O3
2025-07-01,Gandhinagar,2,Satisfactory,52,PM10
2025-07-01,Firozabad,1,Good,18,SO2
2025-07-01,Gaya,1,Good,33,PM10
2025-07-01,Durgapur,3,Good,39,PM10
2025-07-01,Dungarpur,1,Good,50,PM10
2025-07-01,Dindigul,1,Satisfactory,92,PM10
2025-07-01,Eloor,1,Satisfactory,62,CO
2025-07-02,Nandesari,1,Moderate,124,PM10
2025-07-02,Muzaffarnagar,1,Satisfactory,52,PM10
2025-07-02,Muzaffarpur,2,Good,40,"PM10, PM2.5"
2025-07-02,Mysuru,1,Good,35,PM10
2025-07-02,Nagaon,1,Satisfactory,64,PM2.5
2025-07-02,Nagapattinam,1,Good,37,PM10
2025-07-02,Nagaur,1,Satisfactory,55,PM10
2025-07-02,Nagpur,3,Good,37,"CO, PM10"
2025-07-02,Nalbari,1,Good,50,PM2.5
2025-07-02,Nanded,1,Good,31,O3
2025-07-02,Nashik,4,Good,32,"O3, PM10"
2025-07-02,Pratapgarh,1,Satisfactory,52,PM10
2025-07-02,Nayagarh,1,Good,21,O3
2025-07-02,Noida,3,Satisfactory,92,"CO, PM10"
2025-07-02,Pali,1,Moderate,117,PM10
2025-07-02,Palkalaiperur,1,Good,30,PM10
2025-07-02,Panchgaon,1,Good,33,NO2
2025-07-02,Patiala,1,Good,38,PM10
2025-07-02,Patna,6,Satisfactory,59,"CO, O3, PM10"
2025-07-02,Perundurai,1,Good,38,PM2.5
2025-07-02,Pimpri-Chinchwad,4,Satisfactory,54,"CO, PM10"
2025-07-02,Pithampur,1,Satisfactory,65,PM10
2025-07-02,Munger,1,Good,28,PM10
2025-07-02,Navi Mumbai,5,Good,41,"CO, PM10"
2025-07-02,Mumbai,29,Satisfactory,53,"CO, PM10"
2025-07-02,Karur,1,Satisfactory,70,CO
2025-07-02,Mira-Bhayandar,1,Good,37,PM10
2025-07-02,Prayagraj,3,Satisfactory,54,"PM10, SO2"
2025-07-02,Kashipur,1,Good,28,PM2.5
2025-07-02,Katni,1,Satisfactory,63,PM10
2025-07-02,Keonjhar,1,Satisfactory,81,CO
2025-07-02,Khanna,1,Satisfactory,51,CO
2025-07-02,Khurja,1,Satisfactory,79,PM10
2025-07-02,Kishanganj,1,Satisfactory,61,PM2.5
2025-07-02,Kohima,1,Satisfactory,64,SO2
2025-07-02,Kolhapur,2,Good,30,PM10
2025-07-02,Kolkata,6,Good,43,"CO, PM2.5"
2025-07-02,Korba,2,Good,47,"PM10, PM2.5"
2025-07-02,Moradabad,4,Good,42,"CO, O3, SO2"
2025-07-02,Kota,3,Satisfactory,90,PM10
2025-07-02,Latur,1,Good,24,PM10
2025-07-02,Lucknow,6,Satisfactory,61,"O3, PM10, PM2.5"
2025-07-02,Ludhiana,1,Satisfactory,73,PM10
2025-07-02,Madikeri,1,Good,17,PM2.5
2025-07-02,Mahad,1,Satisfactory,71,PM2.5
2025-07-02,Malegaon,1,Good,48,PM10
2025-07-02,Mandi Gobindgarh,1,Moderate,110,CO
2025-07-02,Mandideep,1,Satisfactory,60,PM10
2025-07-02,Manguraha,1,Good,24,PM10
2025-07-02,Meerut,3,Satisfactory,56,"O3, PM10"
2025-07-02,Milupara,1,Satisfactory,92,O3
2025-07-02,Kunjemura,1,Good,25,CO
2025-07-02,Puducherry,1,Good,49,PM10
2025-07-02,Ankleshwar,1,Satisfactory,73,SO2
2025-07-02,Pune,7,Satisfactory,51,"CO, PM10"
2025-07-02,Thanjavur,1,Good,40,PM10
2025-07-02,Thiruvananthapuram,2,Satisfactory,58,"O3, PM10"
2025-07-02,Thoothukudi,1,Good,49,PM10
2025-07-02,Thrissur,1,Good,49,PM10
2025-07-02,Tirumala,1,Good,33,PM10
2025-07-02,Tirunelveli,1,Good,29,CO
2025-07-02,Tirupati,1,Satisfactory,54,PM2.5
2025-07-02,Tirupur,1,Good,32,PM10
2025-07-02,Tonk,1,Good,38,PM10
2025-07-02,Tumakuru,1,Good,47,PM10
2025-07-02,Udaipur,1,Satisfactory,73,PM10
2025-07-02,Thane,2,Satisfactory,60,PM10
2025-07-02,Ulhasnagar,1,Satisfactory,61,PM10
2025-07-02,Varanasi,3,Good,32,SO2
2025-07-02,Vatva,1,Moderate,105,SO2
2025-07-02,Vellore,1,Good,32,PM10
2025-07-02,Vijayapura,1,Good,47,PM10
2025-07-02,Vijayawada,4,Satisfactory,54,PM2.5
2025-07-02,Virar,1,Good,47,PM10
2025-07-02,Virudhunagar,1,Good,41,PM10
2025-07-02,Visakhapatnam,1,Satisfactory,71,NO2
2025-07-02,Vrindavan,1,Satisfactory,67,PM10
2025-07-02,Yadgir,1,Satisfactory,72,NO2
2025-07-02,Karauli,1,Satisfactory,65,PM2.5
2025-07-02,Vapi,1,Satisfactory,82,PM10
2025-07-02,Pudukottai,1,Good,36,PM10
2025-07-02,Tensa,1,Good,32,PM10
2025-07-02,Solapur,2,Good,37,PM10
2025-07-02,Purnia,1,Good,34,PM10
2025-07-02,Raipur,3,Good,48,"CO, PM10"
2025-07-02,Rairangpur,1,Good,31,PM10
2025-07-02,Rajamahendravaram,1,Good,24,PM10
2025-07-02,Rajsamand,1,Satisfactory,55,PM10
2025-07-02,Ramanagara,1,Good,29,PM10
2025-07-02,Ramanathapuram,1,Good,34,PM10
2025-07-02,Ranipet,1,Good,41,PM2.5
2025-07-02,Ratlam,1,Good,46,PM10
2025-07-02,Rishikesh,1,Good,27,PM10
2025-07-02,Rourkela,2,Satisfactory,56,"CO, PM10"
2025-07-02,Talcher,1,Moderate,103,CO
2025-07-02,Sagar,2,Satisfactory,70,"CO, PM10"
2025-07-02,Sangli,1,Good,17,PM10
2025-07-02,Sawai Madhopur,1,Good,48,CO
2025-07-02,Shillong,1,Good,9,PM2.5
2025-07-02,Shivamogga,1,Good,36,PM10
2025-07-02,Sikar,1,Good,50,O3
2025-07-02,Silchar,1,Good,49,PM10
2025-07-02,Siliguri,1,Good,44,CO
2025-07-02,Singrauli,1,Satisfactory,63,PM2.5
2025-07-02,Sirohi,1,Satisfactory,71,PM10
2025-07-02,Sivasagar,1,Good,22,PM10
2025-07-02,Siwan,1,Satisfactory,94,CO
2025-07-02,Samastipur,1,Satisfactory,65,PM10
2025-07-02,Kanpur,3,Satisfactory,54,"CO, PM10"
2025-07-02,Anantapur,1,Satisfactory,58,PM2.5
2025-07-02,Kanchipuram,1,Satisfactory,79,PM10
2025-07-02,Bhagalpur,2,Satisfactory,64,"CO, PM10"
2025-07-02,Bharatpur,1,Good,26,PM10
2025-07-02,Bhilai,3,Good,30,"CO, PM10"
2025-07-02,Bhilwara,1,Good,46,CO
2025-07-02,Bhiwadi,2,Satisfactory,93,"PM10, PM2.5"
2025-07-02,Bhiwandi,1,Very Poor,350,O3
2025-07-02,Bhopal,2,Good,44,"O3, PM10"
2025-07-02,Bhubaneswar,1,Good,39,CO
2025-07-02,Bikaner,1,Satisfactory,91,PM10
2025-07-02,Bileipada,1,Good,30,PM10
2025-07-02,Boisar,1,Good,48,PM10
2025-07-02,Bengaluru,12,Satisfactory,56,PM10
2025-07-02,Brajrajnagar,1,Satisfactory,78,CO
2025-07-02,Bundi,1,Good,38,PM10
2025-07-02,Buxar,1,Good,34,O3
2025-07-02,Byasanagar,1,Satisfactory,74,CO
2025-07-02,Byrnihat,1,Moderate,140,PM2.5
2025-07-02,Chamarajanagar,1,Good,44,PM10
2025-07-02,Chandigarh,3,Satisfactory,56,PM10
2025-07-02,Chandrapur,2,Satisfactory,54,"CO, SO2"
2025-07-02,Chengalpattu,1,Good,32,PM10
2025-07-02,Chennai,7,Satisfactory,85,PM10
2025-07-02,Chhal,1,Good,35,CO
2025-07-02,Chikkaballapur,1,Good,33,PM10
2025-07-02,Bulandshahr,1,Satisfactory,68,PM10
2025-07-02,Chikkamagaluru,1,Good,30,PM10
2025-07-02,Belapur,1,Good,25,PM10
2025-07-02,Barrackpore,1,Good,40,PM10
2025-07-02,Agra,6,Good,44,PM10
2025-07-02,Ahmedabad,8,Satisfactory,80,"NO2, PM10, PM2.5"
2025-07-02,Ahmednagar,1,Good,42,PM10
2025-07-02,Aizawl,1,Good,10,PM10
2025-07-02,Ajmer,1,Satisfactory,60,PM10
2025-07-02,Akola,1,Good,35,PM10
2025-07-02,Alwar,1,Satisfactory,72,CO
2025-07-02,Amaravati,1,Good,37,NO2
2025-07-02,Amravati,2,Good,39,PM10
2025-07-02,Amritsar,1,Satisfactory,72,O3
2025-07-02,Araria,1,Satisfactory,98,PM10
2025-07-02,Bathinda,1,Satisfactory,62,CO
2025-07-02,Asansol,4,Satisfactory,60,PM10
2025-07-02,Baddi,1,Satisfactory,87,PM10
2025-07-02,Badlapur,1,Satisfactory,68,PM10
2025-07-02,Bagalkot,1,Good,46,PM10
2025-07-02,Baghpat,1,Satisfactory,73,PM10
2025-07-02,Balasore,1,Satisfactory,69,PM10
2025-07-02,Banswara,1,Satisfactory,80,PM10
2025-07-02,Baran,1,Satisfactory,65,O3
2025-07-02,Barbil,1,Good,29,O3
2025-07-02,Bareilly,2,Satisfactory,68,SO2
2025-07-02,Baripada,1,Good,47,PM10
2025-07-02,Barmer,1,Satisfactory,98,PM10
2025-07-02,Aurangabad(Maharashtra),3,Good,42,"O3, PM10"
2025-07-02,Chittoor,1,Satisfactory,77,PM2.5
2025-07-02,Kannur,1,Satisfactory,53,PM2.5
2025-07-02,Churu,1,Satisfactory,66,PM10
2025-07-02,Hanumangarh,1,Good,41,PM10
2025-07-02,Hapur,1,Good,46,PM10
2025-07-02,Hassan,1,Satisfactory,65,PM10
2025-07-02,Hosur,1,Satisfactory,56,PM10
2025-07-02,Howrah,5,Good,45,"CO, O3, PM10"
2025-07-02,Hubballi,1,Good,41,PM10
2025-07-02,Hyderabad,10,Satisfactory,58,PM10
2025-07-02,Imphal,1,Moderate,110,SO2
2025-07-02,Indore,3,Satisfactory,63,"NO2, PM10, SO2"
2025-07-02,Chittorgarh,1,Good,19,CO
2025-07-02,Jaipur,6,Satisfactory,58,"CO, NO2, PM10"
2025-07-02,Haldia,1,Good,48,PM10
2025-07-02,Jaisalmer,1,Moderate,102,PM10
2025-07-02,Jalgaon,1,Good,48,PM10
2025-07-02,Jalna,1,Good,47,PM10
2025-07-02,Jalore,1,Satisfactory,89,PM10
2025-07-02,Jhalawar,1,Good,45,O3
2025-07-02,Jhansi,1,Good,42,SO2
2025-07-02,Jhunjhunu,1,Satisfactory,54,O3
2025-07-02,Jodhpur,5,Satisfactory,66,PM10
2025-07-02,Jorapokhar,1,Good,47,PM10
2025-07-02,Kadapa,1,Satisfactory,64,PM2.5
2025-07-02,Kalaburagi,1,Good,32,CO
2025-07-02,Kalyan,1,Moderate,104,PM10
2025-07-02,Jalandhar,1,Satisfactory,57,O3
2025-07-02,Hajipur,1,Satisfactory,86,PM2.5
2025-07-02,Jabalpur,3,Good,42,"CO, NO2, PM10"
2025-07-02,Guwahati,4,Satisfactory,81,"O3, PM2.5, SO2"
2025-07-02,Coimbatore,2,Good,22,PM10
2025-07-02,Gwalior,1,Good,41,O3
2025-07-02,Cuddalore,2,Good,29,"PM10, PM2.5"
2025-07-02,Cuttack,1,Satisfactory,69,CO
2025-07-02,Damoh,1,Good,26,PM10
2025-07-02,Dausa,1,Satisfactory,79,PM10
2025-07-02,Davanagere,1,Good,26,PM2.5
2025-07-02,Dewas,1,Satisfactory,58,PM10
2025-07-02,Dhanbad,1,Satisfactory,80,NO2
2025-07-02,Dharwad,1,Satisfactory,59,PM10
2025-07-02,Dholpur,1,Moderate,105,PM10
2025-07-02,Dhule,1,Good,45,PM10
2025-07-02,Delhi,36,Satisfactory,83,"PM10, PM2.5"
2025-07-02,Dungarpur,1,Satisfactory,71,PM10
2025-07-02,Dindigul,1,Good,46,PM10
2025-07-02,Gummidipoondi,1,Moderate,123,PM2.5
2025-07-02,Greater Noida,2,Moderate,179,PM10
2025-07-02,Gorakhpur,1,Good,42,O3
2025-07-02,Ghaziabad,4,Satisfactory,86,PM10
2025-07-02,Gurugram,1,Satisfactory,60,PM10
2025-07-02,Gandhinagar,3,Satisfactory,60,PM10
2025-07-02,Firozabad,2,Good,25,"PM10, SO2"
2025-07-02,Eloor,1,Good,50,PM2.5
2025-07-02,Durgapur,3,Satisfactory,53,PM10
2025-07-02,Gaya,1,Satisfactory,54,PM2.5
2025-07-03,Nashik,3,Good,33,"O3, PM10"
2025-07-03,Munger,1,Good,38,CO
2025-07-03,Muzaffarnagar,1,Satisfactory,51,PM10
2025-07-03,Muzaffarpur,3,Satisfactory,55,"CO, O3, PM10"
2025-07-03,Mysuru,1,Good,30,PM10
2025-07-03,Nagaon,1,Satisfactory,64,PM2.5
2025-07-03,Nagaur,1,Satisfactory,62,PM10
2025-07-03,Nagpur,4,Good,47,"CO, PM10"
2025-07-03,Nalbari,1,Satisfactory,51,PM2.5
2025-07-03,Nanded,1,Good,32,PM10
2025-07-03,Navi Mumbai,5,Good,36,PM10
2025-07-03,Prayagraj,3,Satisfactory,63,"PM10, SO2"
2025-07-03,Ooty,1,Moderate,112,CO
2025-07-03,Pali,1,Satisfactory,74,PM2.5
2025-07-03,Palkalaiperur,1,Good,24,PM10
2025-07-03,Panchgaon,1,Good,38,PM10
2025-07-03,Patiala,1,Good,41,PM10
2025-07-03,Patna,6,Satisfactory,64,"CO, O3, PM10"
2025-07-03,Perundurai,1,Good,32,CO
2025-07-03,Pimpri-Chinchwad,4,Good,46,"CO, PM10"
2025-07-03,Pithampur,1,Good,47,PM10
2025-07-03,Pratapgarh,1,Good,30,O3
2025-07-03,Noida,3,Satisfactory,86,"CO, PM10"
2025-07-03,Mumbai,28,Good,40,PM10
2025-07-03,Kanpur,3,Satisfactory,54,"CO, PM10"
2025-07-03,Mira-Bhayandar,1,Good,32,PM10
2025-07-03,Puducherry,1,Good,41,PM10
2025-07-03,Karauli,1,Good,20,PM10
2025-07-03,Karur,1,Satisfactory,70,CO
2025-07-03,Kashipur,1,Good,33,PM2.5
2025-07-03,Katihar,1,Satisfactory,60,PM10
2025-07-03,Katni,1,Satisfactory,59,PM10
2025-07-03,Khanna,1,Satisfactory,52,PM2.5
2025-07-03,Kishanganj,1,Good,42,PM10
2025-07-03,Kohima,1,Satisfactory,64,SO2
2025-07-03,Kolhapur,2,Good,28,PM10
2025-07-03,Kolkata,6,Good,35,"NO2, PM2.5"
2025-07-03,Moradabad,4,Good,44,"CO, O3"
2025-07-03,Korba,2,Good,40,PM10
2025-07-03,Kunjemura,1,Good,24,CO
2025-07-03,Latur,1,Good,29,PM10
2025-07-03,Lucknow,5,Satisfactory,57,"CO, PM10, PM2.5"
2025-07-03,Ludhiana,1,Satisfactory,62,PM10
2025-07-03,Madikeri,1,Good,16,PM10
2025-07-03,Madurai,1,Good,27,PM10
2025-07-03,Malegaon,1,Satisfactory,59,PM10
2025-07-03,Mandi Gobindgarh,1,Moderate,104,CO
2025-07-03,Mandideep,1,Satisfactory,68,PM10
2025-07-03,Mangalore,1,Good,39,PM10
2025-07-03,Meerut,3,Satisfactory,55,"O3, PM10"
2025-07-03,Kota,3,Satisfactory,53,"CO, PM10"
2025-07-03,Pudukottai,1,Good,21,PM10
2025-07-03,Talcher,1,Moderate,124,CO
2025-07-03,Purnia,1,Good,33,PM10
2025-07-03,Thoothukudi,1,Good,49,PM10
2025-07-03,Thrissur,1,Good,43,PM10
2025-07-03,Tiruchirappalli,1,Good,36,PM10
2025-07-03,Tirumala,1,Good,24,CO
2025-07-03,Tirupati,1,Good,50,PM2.5
2025-07-03,Tirupur,1,Good,33,PM10
2025-07-03,Tonk,1,Good,30,PM10
2025-07-03,Tumakuru,1,Satisfactory,65,PM10
2025-07-03,Tumidih,1,Good,23,NO2
2025-07-03,Udaipur,1,Satisfactory,58,PM10
2025-07-03,Ulhasnagar,1,Satisfactory,53,PM10
2025-07-03,Vapi,1,Satisfactory,87,PM10
2025-07-03,Varanasi,4,Good,32,"PM10, SO2"
2025-07-03,Vatva,1,Good,50,PM10
2025-07-03,Vellore,1,Good,29,PM10
2025-07-03,Vijayapura,1,Good,47,PM10
2025-07-03,Vijayawada,3,Satisfactory,58,"PM10, PM2.5"
2025-07-03,Virar,1,Good,37,CO
