date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2025-07-01,Agra,4,Good,34,"PM10, SO2"
2025-07-01,Mumbai,28,Satisfactory,53,"PM10, PM2.5"
2025-07-01,Muzaffarnagar,1,Satisfactory,53,PM2.5
2025-07-01,Muzaffarpur,2,Satisfactory,58,"PM10, PM2.5"
2025-07-01,Mysuru,1,Good,33,PM10
2025-07-01,Nagaon,1,Satisfactory,63,PM2.5
2025-07-01,Nagapattinam,1,Good,40,PM10
2025-07-01,Nagaur,1,Satisfactory,64,PM10
2025-07-01,Nagpur,4,Good,47,"CO, PM10"
2025-07-01,Naharlagun,1,Good,41,PM10
2025-07-01,Nalbari,1,Good,50,PM2.5
2025-07-01,Nandesari,1,Moderate,147,PM2.5
2025-07-01,Nashik,4,Good,39,PM10
2025-07-01,Navi Mumbai,6,Good,40,PM10
2025-07-01,Nayagarh,1,Good,21,O3
2025-07-01,Noida,3,Satisfactory,79,"CO, PM10, PM2.5"
2025-07-01,Ooty,1,Good,28,PM10
2025-07-01,Pali,1,Satisfactory,92,PM10
2025-07-01,Palkalaiperur,1,Good,29,PM10
2025-07-01,Panchgaon,1,Satisfactory,53,PM2.5
2025-07-01,Patiala,1,Good,46,CO
2025-07-01,Patna,6,Satisfactory,58,"CO, NO2"
2025-07-01,Perundurai,1,Good,26,PM2.5
2025-07-01,Pimpri-Chinchwad,4,Good,42,"CO, PM10"
2025-07-01,Motihari,1,Good,34,PM10
2025-07-01,Pithampur,1,Satisfactory,75,PM10
2025-07-01,Moradabad,6,Good,48,"CO, SO2"
2025-07-01,Meerut,3,Satisfactory,54,"CO, O3"
2025-07-01,Kanpur,3,Satisfactory,52,"CO, PM10, SO2"
2025-07-01,Karauli,1,Good,31,PM10
2025-07-01,Karur,1,Satisfactory,70,CO
2025-07-01,Kashipur,1,Good,23,PM2.5
2025-07-01,Katni,1,Satisfactory,63,PM10
2025-07-01,Keonjhar,1,Satisfactory,62,CO
2025-07-01,Khurja,1,Satisfactory,95,PM2.5
2025-07-01,Kohima,1,Satisfactory,64,SO2
2025-07-01,Kolhapur,2,Good,28,PM10
2025-07-01,Kolkata,6,Good,43,"CO, PM2.5"
2025-07-01,Kollam,1,Good,49,PM10
2025-07-01,Korba,2,Satisfactory,56,PM10
2025-07-01,Kota,3,Satisfactory,63,"PM10, PM2.5"
2025-07-01,Kunjemura,1,Good,28,PM10
2025-07-01,Latur,1,Good,25,O3
2025-07-01,Lucknow,6,Satisfactory,59,"O3, PM10, PM2.5"
2025-07-01,Ludhiana,1,Satisfactory,62,PM10
2025-07-01,Madikeri,1,Good,20,PM2.5
2025-07-01,Madurai,1,Good,28,CO
2025-07-01,Malegaon,1,Good,41,PM2.5
2025-07-01,Mandi Gobindgarh,1,Moderate,111,CO
2025-07-01,Mandideep,1,Satisfactory,57,PM10
2025-07-01,Mangalore,1,Good,23,PM10
2025-07-01,Mira-Bhayandar,1,Good,37,PM10
2025-07-01,Prayagraj,3,Good,41,"PM10, SO2"
2025-07-01,Puducherry,1,Good,44,PM10
2025-07-01,Pudukottai,1,Good,29,PM10
2025-07-01,Thiruvananthapuram,2,Satisfactory,62,"O3, PM10"
2025-07-01,Thoothukudi,1,Satisfactory,72,CO
2025-07-01,Thrissur,1,Good,48,PM10
2025-07-01,Tiruchirappalli,1,Satisfactory,64,PM10
2025-07-01,Tirumala,1,Good,37,PM10
2025-07-01,Tirunelveli,1,Good,48,CO
2025-07-01,Tirupati,1,Satisfactory,52,PM2.5
2025-07-01,Tirupur,1,Good,38,PM10
2025-07-01,Tonk,1,Satisfactory,80,PM10
2025-07-01,Tumakuru,1,Good,46,PM10
2025-07-01,Tumidih,1,Good,20,O3
2025-07-01,Udaipur,1,Satisfactory,69,PM10
2025-07-01,Ulhasnagar,1,Satisfactory,59,PM10
2025-07-01,Vapi,1,Moderate,119,PM10
2025-07-01,Varanasi,3,Good,33,"O3, PM10, SO2"
2025-07-01,Vatva,1,Satisfactory,77,SO2
2025-07-01,Vijayapura,1,Good,47,PM10
2025-07-01,Vijayawada,4,Satisfactory,59,"PM10, PM2.5"
2025-07-01,Virar,1,Satisfactory,51,PM10
2025-07-01,Virudhunagar,1,Good,41,PM10
2025-07-01,Visakhapatnam,1,Satisfactory,74,NO2
2025-07-01,Vrindavan,1,Satisfactory,90,PM10
2025-07-01,Yadgir,1,Satisfactory,71,NO2
2025-07-01,Thane,2,Satisfactory,58,PM10
2025-07-01,Tensa,1,Good,26,PM10
2025-07-01,Talcher,1,Satisfactory,85,CO
2025-07-01,Sri Ganganagar,1,Satisfactory,87,PM10
2025-07-01,Pune,8,Satisfactory,52,"CO, NO2, O3"
2025-07-01,Purnia,1,Good,41,CO
2025-07-01,Raipur,3,Good,26,"CO, PM10"
2025-07-01,Rairangpur,1,Good,34,PM10
2025-07-01,Rajamahendravaram,1,Good,31,PM10
2025-07-01,Rajsamand,1,Satisfactory,67,O3
2025-07-01,Ramanathapuram,1,Good,37,PM10
2025-07-01,Ranipet,1,Good,38,PM2.5
2025-07-01,Ratlam,1,Good,46,PM10
2025-07-01,Rishikesh,1,Good,30,CO
2025-07-01,Rourkela,3,Satisfactory,70,PM10
2025-07-01,Kannur,1,Satisfactory,52,PM10
2025-07-01,Sagar,2,Satisfactory,70,"CO, PM10"
2025-07-01,Sangli,1,Good,34,O3
2025-07-01,Sawai Madhopur,1,Good,49,PM10
2025-07-01,Shillong,1,Good,10,PM2.5
2025-07-01,Shivamogga,1,Good,45,PM10
2025-07-01,Sikar,1,Good,48,PM10
2025-07-01,Silchar,1,Good,47,PM10
2025-07-01,Siliguri,1,Good,43,PM10
2025-07-01,Singrauli,1,Good,46,PM10
2025-07-01,Sirohi,1,Good,45,PM10
2025-07-01,Sivasagar,1,Good,25,PM10
2025-07-01,Solapur,2,Good,38,PM10
2025-07-01,Salem,1,Good,47,SO2
2025-07-01,Kanchipuram,1,Satisfactory,66,O3
2025-07-01,Pratapgarh,1,Good,42,PM10
2025-07-01,Kadapa,1,Satisfactory,63,PM2.5
2025-07-01,Belgaum,1,Good,32,NO2
2025-07-01,Bengaluru,13,Satisfactory,62,PM10
2025-07-01,Bharatpur,1,Good,26,O3
2025-07-01,Bhilai,2,Good,19,"NO2, O3"
2025-07-01,Bhilwara,1,Good,45,CO
2025-07-01,Bhiwadi,2,Satisfactory,76,"PM10, PM2.5"
2025-07-01,Bhiwandi,1,Good,46,PM10
2025-07-01,Bhopal,3,Good,48,PM10
2025-07-01,Bhubaneswar,2,Satisfactory,62,CO
2025-07-01,Bikaner,1,Satisfactory,84,PM10
2025-07-01,Bilaspur,1,Good,33,CO
2025-07-01,Bileipada,1,Good,21,PM10
2025-07-01,Boisar,1,Good,44,PM10
2025-07-01,Bulandshahr,1,Good,48,PM10
2025-07-01,Bundi,1,Satisfactory,60,PM10
2025-07-01,Byasanagar,1,Satisfactory,73,CO
2025-07-01,Byrnihat,1,Moderate,128,PM2.5
2025-07-01,Chamarajanagar,1,Good,43,PM10
2025-07-01,Chandigarh,3,Good,39,"CO, NH3, O3"
2025-07-01,Chandrapur,2,Satisfactory,62,"CO, SO2"
2025-07-01,Chengalpattu,1,Good,32,PM10
2025-07-01,Chennai,7,Satisfactory,76,"O3, PM10"
2025-07-01,Chhal,1,Good,17,PM10
2025-07-01,Bathinda,1,Good,44,NO2
2025-07-01,Barrackpore,1,Satisfactory,66,PM10
2025-07-01,Barmer,1,Satisfactory,84,PM10
2025-07-01,Baripada,1,Good,38,CO
2025-07-01,Kalaburagi,1,Good,40,CO
2025-07-01,Ahmedabad,9,Satisfactory,72,"CO, NO2"
2025-07-01,Ahmednagar,1,Good,38,PM10
2025-07-01,Aizawl,1,Good,11,PM10
2025-07-01,Ajmer,1,Satisfactory,66,NO2
2025-07-01,Akola,1,Good,50,PM10
2025-07-01,Alwar,1,Satisfactory,65,CO
2025-07-01,Amaravati,1,Good,39,NO2
2025-07-01,Amravati,2,Good,48,PM10
2025-07-01,Amritsar,1,Good,46,O3
2025-07-01,Anantapur,1,Satisfactory,58,PM2.5
2025-07-01,Chhapra,1,Moderate,115,NO2
2025-07-01,Ankleshwar,1,Satisfactory,67,SO2
2025-07-01,Asansol,4,Good,50,"CO, PM10"
2025-07-01,Aurangabad(Maharashtra),2,Good,44,"CO, PM2.5"
2025-07-01,Baddi,1,Satisfactory,63,PM10
2025-07-01,Badlapur,1,Satisfactory,62,PM10
2025-07-01,Bagalkot,1,Good,46,PM10
2025-07-01,Baghpat,1,Satisfactory,76,PM10
2025-07-01,Balasore,1,Good,50,PM10
2025-07-01,Banswara,1,Satisfactory,56,PM10
2025-07-01,Baran,1,Good,44,O3
2025-07-01,Barbil,1,Good,36,O3
2025-07-01,Bareilly,2,Satisfactory,66,SO2
2025-07-01,Ariyalur,1,Good,41,PM10
2025-07-01,Chikkaballapur,1,Good,26,PM10
2025-07-01,Belapur,1,Good,26,PM10
2025-07-01,Jhunjhunu,1,Satisfactory,60,PM10
2025-07-01,Gurugram,1,Satisfactory,53,PM10
2025-07-01,Guwahati,4,Moderate,113,"O3, PM2.5, SO2"
2025-07-01,Gwalior,1,Satisfactory,53,O3
2025-07-01,Hajipur,1,Satisfactory,71,O3
2025-07-01,Haldia,1,Good,38,PM10
2025-07-01,Hanumangarh,1,Good,47,PM10
2025-07-01,Hapur,1,Good,50,NO2
2025-07-01,Hassan,1,Satisfactory,78,PM10
