date,city,no_stations,aqi_category,aqi,prominent_pollutant
2015-06-09,Bengaluru,3,Good,40,SO2
2015-06-21,Bengaluru,2,Moderate,105,"CO, SO2"
2015-08-02,Chennai,3,Moderate,191,"PM2.5, SO2"
2015-08-22,Chennai,3,Satisfactory,99,"CO, SO2"
2015-08-26,Bengaluru,2,Moderate,135,"CO, SO2"
2016-01-20,Bengaluru,5,Moderate,175,"PM2.5, SO2"
2016-01-21,Bengaluru,4,Satisfactory,95,"PM2.5, SO2"
2016-02-06,Chennai,2,Poor,210,"PM2.5, SO2"
2016-06-30,Lucknow,2,Satisfactory,78,"PM2.5, SO2"
2016-07-05,Haldia,1,Satisfactory,66,SO2
2016-07-06,Haldia,1,Satisfactory,79,SO2
2016-07-07,Haldia,1,Satisfactory,53,SO2
2016-07-18,Haldia,1,Satisfactory,63,SO2
2016-07-19,Haldia,1,Good,47,SO2
2016-07-20,Navi Mumbai,1,Satisfactory,54,SO2
2016-07-29,Haldia,1,Good,50,SO2
2016-07-30,Bengaluru,1,Good,45,SO2
2016-08-02,Visakhapatnam,1,Satisfactory,54,SO2
2016-08-03,Visakhapatnam,1,Good,48,SO2
2016-09-02,Haldia,1,Satisfactory,81,SO2
2016-10-14,Navi Mumbai,1,Satisfactory,83,SO2
2016-10-19,Thane,1,Moderate,118,SO2
2016-10-20,Thane,1,Moderate,118,SO2
2016-10-31,Rohtak,1,Satisfactory,64,SO2
2016-11-01,Rohtak,1,Satisfactory,90,SO2
2016-11-25,Rohtak,1,Satisfactory,65,SO2
2016-12-04,Thane,1,Moderate,125,SO2
2016-12-14,Thane,1,Moderate,134,SO2
2016-12-15,Thane,1,Satisfactory,95,SO2
2017-04-10,Haldia,1,Satisfactory,55,SO2
2017-05-04,Pune,1,Moderate,196,SO2
2017-05-20,Kolkata,1,Moderate,145,SO2
2017-05-21,Kolkata,2,Satisfactory,87,"NO2, SO2"
2017-06-12,Hyderabad,3,Good,36,"CO, SO2"
2017-06-17,Haldia,1,Good,49,SO2
2017-06-23,Haldia,1,Good,43,SO2
2017-06-26,Haldia,1,Good,31,SO2
2017-06-27,Haldia,1,Good,46,SO2
2017-06-29,Haldia,1,Good,50,SO2
2017-07-01,Kolkata,1,Good,44,SO2
2017-07-02,Haldia,1,Satisfactory,52,SO2
2017-07-03,Haldia,1,Satisfactory,88,SO2
2017-07-04,Rohtak,1,Good,36,SO2
