,year,month,avg
0,2015,5,2.090909090909091
1,2015,6,2.0
2,2015,7,2.090909090909091
3,2015,8,1.7142857142857142
4,2015,9,1.5
5,2015,10,1.5625
6,2015,11,1.6875
7,2015,12,1.4761904761904763
8,2016,1,1.391304347826087
9,2016,2,1.434782608695652
10,2016,3,1.3043478260869565
11,2016,4,1.4583333333333333
12,2016,5,1.2083333333333333
13,2016,6,1.375
14,2016,7,1.103448275862069
15,2016,8,1.2758620689655173
16,2016,9,1.25
17,2016,10,1.3636363636363635
18,2016,11,1.5151515151515151
19,2016,12,1.606060606060606
20,2017,1,1.4545454545454546
21,2017,2,1.5151515151515151
22,2017,3,1.5714285714285714
23,2017,4,1.4857142857142858
24,2017,5,1.435897435897436
25,2017,6,1.4871794871794872
26,2017,7,1.45
27,2017,8,1.4736842105263157
28,2017,9,1.7
29,2017,10,1.6
30,2017,11,1.58
31,2017,12,1.5686274509803921
32,2018,1,1.5849056603773586
33,2018,2,1.435483870967742
34,2018,3,1.6721311475409837
35,2018,4,1.5555555555555556
36,2018,5,1.5692307692307692
37,2018,6,1.5820895522388059
38,2018,7,1.6666666666666667
39,2018,8,1.6901408450704225
40,2018,9,1.7
41,2018,10,1.7638888888888888
42,2018,11,1.7638888888888888
43,2018,12,1.7432432432432432
44,2019,1,1.5333333333333334
45,2019,2,1.5454545454545454
46,2019,3,1.5247524752475248
47,2019,4,1.5555555555555556
48,2019,5,1.4901960784313726
49,2019,6,1.6176470588235294
50,2019,7,1.6442307692307692
51,2019,8,1.6699029126213591
52,2019,9,1.6090909090909091
53,2019,10,1.6491228070175439
54,2019,11,1.690909090909091
55,2019,12,1.688073394495413
56,2020,1,1.6785714285714286
57,2020,2,1.680672268907563
58,2020,3,1.7083333333333333
59,2020,4,1.6
60,2020,5,1.5528455284552845
61,2020,6,1.596774193548387
62,2020,7,1.6016260162601625
63,2020,8,1.5934959349593496
64,2020,9,1.6370967741935485
65,2020,10,1.696
66,2020,11,1.8091603053435115
67,2020,12,1.762962962962963
68,2021,1,1.7142857142857142
69,2021,2,1.7291666666666667
70,2021,3,1.6849315068493151
71,2021,4,1.6666666666666667
72,2021,5,1.625
73,2021,6,1.8450704225352113
74,2021,7,1.730263157894737
75,2021,8,1.8026315789473684
76,2021,9,1.8456375838926173
77,2021,10,1.8175675675675675
78,2021,11,1.7710843373493976
79,2021,12,1.7751479289940828
80,2022,1,1.723529411764706
81,2022,2,1.7823529411764707
82,2022,3,1.7660818713450293
83,2022,4,1.7052023121387283
84,2022,5,1.6610169491525424
85,2022,6,1.7303370786516854
86,2022,7,1.6363636363636365
87,2022,8,1.641304347826087
88,2022,9,1.619047619047619
89,2022,10,1.6855670103092784
90,2022,11,1.6305418719211822
91,2022,12,1.6650246305418719
92,2023,1,1.748792270531401
93,2023,2,1.7688679245283019
94,2023,3,1.6764705882352942
95,2023,4,1.6680851063829787
96,2023,5,1.6083333333333334
97,2023,6,1.630952380952381
98,2023,7,1.6496062992125984
99,2023,8,1.6561264822134387
100,2023,9,1.6745098039215687
101,2023,10,1.72265625
102,2023,11,1.7490494296577948
103,2023,12,1.763157894736842
104,2024,1,1.779467680608365
105,2024,2,1.78544061302682
106,2024,3,1.7306273062730628
107,2024,4,1.7296296296296296
108,2024,5,1.7164179104477613
109,2024,6,1.6529850746268657
110,2024,7,1.657992565055762
111,2024,8,1.6483516483516483
112,2024,9,1.7279411764705883
113,2024,10,1.8021582733812949
114,2024,11,1.800711743772242
115,2024,12,1.7508896797153024
116,2025,1,1.779467680608365
117,2025,2,1.806201550387597
118,2025,3,1.7777777777777777
119,2025,4,1.7635658914728682
120,2025,5,1.7333333333333334
121,2025,6,1.7333333333333334
122,2025,7,1.734375
123,2025,8,1.7421875
124,2025,9,1.6973180076628354
125,2025,10,1.7491039426523298
