city,year,no_stations
Ariyalur,2023,1.0
Ariyalur,2024,1.0
Ariyalur,2025,1.0
Arrah,2021,1.0
Arrah,2022,1.0
Arrah,2023,1.0
Arrah,2024,1.0
Arrah,2025,1.0
Asansol,2018,1.0
Asansol,2019,1.0
Asansol,2020,1.0
Asansol,2021,1.0
Asansol,2022,1.0
Asansol,2023,1.0
Asansol,2024,2.4644808743169397
Asansol,2025,3.8217821782178216
Aurangabad (Bihar),2022,1.0
Aurangabad (Bihar),2023,1.0
Aurangabad (Bihar),2024,1.0
Aurangabad (Bihar),2025,1.0
Aurangabad (Maharashtra),2016,1.0
Aurangabad (Maharashtra),2017,1.0
Aurangabad (Maharashtra),2018,1.0
Aurangabad (Maharashtra),2019,1.0
Aurangabad (Maharashtra),2020,1.0
Aurangabad (Maharashtra),2021,1.0
Aurangabad (Maharashtra),2022,1.0
Aurangabad (Maharashtra),2023,1.9215686274509804
Aurangabad (Maharashtra),2024,2.5534246575342467
Aurangabad (Maharashtra),2025,2.68976897689769
Baddi,2022,1.0
Baddi,2023,1.0
Baddi,2024,1.0
Baddi,2025,1.0
Badlapur,2023,1.0
Badlapur,2024,1.0
Badlapur,2025,1.0
Bagalkot,2020,1.0
Bagalkot,2021,1.0
Bagalkot,2022,1.0
Bagalkot,2023,1.0
Bagalkot,2024,1.0
Bagalkot,2025,1.0
Baghpat,2018,1.0
Baghpat,2019,1.0
Baghpat,2020,1.0
Baghpat,2021,1.0
Baghpat,2022,1.0
Baghpat,2023,1.0
Baghpat,2024,1.0
Baghpat,2025,1.0
Bahadurgarh,2019,1.0
Bahadurgarh,2020,1.0
Bahadurgarh,2021,1.0
Bahadurgarh,2022,1.0
Bahadurgarh,2023,1.0
Bahadurgarh,2024,1.0
Bahadurgarh,2025,1.0
Balasore,2023,1.0
Balasore,2024,1.0
Balasore,2025,1.0
Ballabgarh,2019,1.0
Ballabgarh,2020,1.0
Ballabgarh,2021,1.0
Ballabgarh,2022,1.0
Ballabgarh,2023,1.0
Ballabgarh,2024,1.0
Ballabgarh,2025,1.0
Banswara,2023,1.0
Banswara,2024,1.0
Banswara,2025,1.0
Baran,2023,1.0
Baran,2024,1.0
Baran,2025,1.0
Barbil,2023,1.0
Barbil,2024,1.0
Barbil,2025,1.0
Bareilly,2022,1.6403940886699508
Bareilly,2023,1.8428571428571427
Bareilly,2024,1.8236914600550964
Bareilly,2025,1.71280276816609
Baripada,2022,1.0
Baripada,2023,1.0
Baripada,2024,1.0
Baripada,2025,1.0
Barmer,2023,1.0
Barmer,2024,1.0
Barmer,2025,1.0
Barrackpore,2023,1.0
Barrackpore,2024,1.0
Barrackpore,2025,1.0
Bathinda,2018,1.0
Bathinda,2019,1.0
Bathinda,2020,1.0
Bathinda,2021,1.0
Bathinda,2022,1.0
Bathinda,2023,1.0
Bathinda,2024,1.0
Bathinda,2025,1.0
Begusarai,2022,1.0
Begusarai,2023,1.0
Begusarai,2024,1.0
Begusarai,2025,1.0
Belapur,2023,1.0
Belapur,2024,1.0
Belapur,2025,1.0
Belgaum,2022,1.0
Belgaum,2023,1.0
Belgaum,2024,1.0
Belgaum,2025,1.0
Bengaluru,2015,2.4801762114537445
Bengaluru,2016,3.061046511627907
Bengaluru,2017,3.6983240223463687
Bengaluru,2018,5.989041095890411
Bengaluru,2019,8.167123287671233
Bengaluru,2020,8.478142076502733
Bengaluru,2021,8.189041095890412
Bengaluru,2022,7.443835616438356
Bengaluru,2023,10.33972602739726
Bengaluru,2024,11.040983606557377
Bengaluru,2025,10.752475247524753
Bettiah,2021,1.0
Bettiah,2022,1.0
Bettiah,2023,1.0
Bettiah,2024,1.0
Bettiah,2025,1.0
Bhagalpur,2021,1.794871794871795
Bhagalpur,2022,1.8615819209039548
Bhagalpur,2023,1.9211267605633804
Bhagalpur,2024,1.8295454545454546
Bhagalpur,2025,1.7706093189964158
Bharatpur,2023,1.0
Bharatpur,2024,1.0
Bharatpur,2025,1.0
Bhilai,2021,1.0
Bhilai,2022,1.0526315789473684
Bhilai,2023,2.4583333333333335
Bhilai,2024,2.762295081967213
Bhilai,2025,2.6511627906976742
Bhilwara,2023,1.0
Bhilwara,2024,1.0
Bhilwara,2025,1.0
Bhiwadi,2017,1.0
Bhiwadi,2018,1.0
Bhiwadi,2019,1.0
Bhiwadi,2020,1.0
Bhiwadi,2021,1.0
Bhiwadi,2022,1.0
Bhiwadi,2023,1.0
Bhiwadi,2024,1.7119113573407203
Bhiwadi,2025,1.9169435215946844
Bhiwandi,2023,1.0
Bhiwandi,2024,1.0
Bhiwandi,2025,1.0
Bhiwani,2019,1.0
Bhiwani,2020,1.0
Bhiwani,2021,1.0
Bhiwani,2022,1.0
Bhiwani,2023,1.0
Bhiwani,2024,1.0
Bhiwani,2025,1.0
Bhopal,2019,1.0
Bhopal,2020,1.0
Bhopal,2021,1.0
Bhopal,2022,1.2865168539325842
Bhopal,2023,2.741758241758242
Bhopal,2024,2.9013698630136986
Bhopal,2025,2.8514851485148514
Bhubaneswar,2023,1.9661016949152543
Bhubaneswar,2024,1.8857938718662952
Bhubaneswar,2025,1.9421768707482994
Bidar,2021,1.0
Bidar,2022,1.0
Bidar,2023,1.0
Bidar,2024,1.0
Bidar,2025,1.0
Bihar Sharif,2021,1.0
Bihar Sharif,2022,1.0
Bihar Sharif,2023,1.0
Bihar Sharif,2024,1.0
Bihar Sharif,2025,1.0
Bikaner,2023,1.0
Bikaner,2024,1.0
Bikaner,2025,1.0
Bilaspur,2021,1.0
